,date,category,item_code,price,amount
75,2019-01-03,home_appliance,200508,1900000,45919000
76,2019-01-03,home_appliance,200518,2700000,19738000
77,2019-01-03,kitchen,200868,109800,119902000
78,2019-01-03,kitchen,202455,218000,61373000
79,2019-01-03,kitchen,202456,208000,13447000
80,2019-01-03,kitchen,202457,198000,14227000
81,2019-01-03,kitchen,202458,208000,59276000
82,2019-01-03,stuff,201840,39000,73259000
83,2019-01-03,stuff,202285,49800,12681000
84,2019-01-03,stuff,202292,39800,17104000
85,2019-01-03,underwear,200970,109000,102903000
86,2019-01-03,underwear,201860,89000,71433000
87,2019-01-03,underwear,201861,89000,13897000
88,2019-01-03,underwear,201865,89000,10129000
89,2019-01-03,underwear,201894,59000,55443000
90,2019-01-03,underwear,202108,89900,87262000
91,2019-01-04,beauty,200197,39800,161417000
92,2019-01-04,cloth,200896,299000,79745000
93,2019-01-04,cloth,201225,69900,55851000
94,2019-01-04,cloth,201231,69900,46295000
95,2019-01-04,cloth,202044,499000,57383000
96,2019-01-04,daily_supplies,200789,49800,67545000
97,2019-01-04,daily_supplies,200800,29800,48878000
98,2019-01-04,daily_supplies,201019,49800,10166000
99,2019-01-04,food,200670,50900,122899000
100,2019-01-04,food,200864,30900,125512000
101,2019-01-04,food,201483,59900,140992000
102,2019-01-04,food,202491,32900,115409000
103,2019-01-04,health,201972,74900,71174000
104,2019-01-04,home_appliance,200465,489000,82568000
105,2019-01-04,home_appliance,200533,439000,86664000
106,2019-01-04,kitchen,200819,89800,111035000
107,2019-01-04,kitchen,200868,109800,92222000
108,2019-01-04,kitchen,202229,218000,14922000
109,2019-01-04,kitchen,202230,238000,43257000
110,2019-01-04,kitchen,202237,208000,5534000
111,2019-01-04,kitchen,202238,228000,27402000
112,2019-01-04,kitchen,202455,218000,59016000
113,2019-01-04,kitchen,202456,208000,11186000
114,2019-01-04,kitchen,202457,198000,14937000
115,2019-01-04,kitchen,202458,208000,49659000
116,2019-01-04,underwear,200970,109000,85009000
117,2019-01-04,underwear,200974,59000,87263000
118,2019-01-04,underwear,202004,79900,112617000
119,2019-01-04,underwear,202101,89900,62837000
120,2019-01-05,beauty,200756,49900,58478000
121,2019-01-05,beauty,200883,50900,35108000
122,2019-01-05,cloth,200773,79000,30218000
123,2019-01-05,cloth,200774,79000,19209000
124,2019-01-05,cloth,200842,69000,70159000
125,2019-01-05,cloth,200855,69000,23214000
126,2019-01-05,cloth,202216,39900,118333000
127,2019-01-05,cloth,202377,59900,153801000
128,2019-01-05,cloth,202404,79000,81471000
129,2019-01-05,food,201350,39900,233851000
130,2019-01-05,food,202365,59900,76992000
131,2019-01-05,food,202512,61000,178901000
132,2019-01-05,home_appliance,200432,1440000,34888000
133,2019-01-05,home_appliance,200441,2130000,87642000
134,2019-01-05,home_appliance,200451,2990000,21822000
135,2019-01-05,home_appliance,200465,489000,76541000
136,2019-01-05,home_appliance,200499,1300000,28295000
137,2019-01-05,home_appliance,200508,1900000,78042000
138,2019-01-05,home_appliance,200518,2700000,19689000
139,2019-01-05,home_appliance,200533,439000,68255000
140,2019-01-05,kitchen,200236,60900,173551000
141,2019-01-05,kitchen,200819,89800,155117000
142,2019-01-05,kitchen,202093,168000,48644000
143,2019-01-05,kitchen,202095,158000,13426000
144,2019-01-05,kitchen,202098,158000,87694000
145,2019-01-05,kitchen,202100,148000,31393000
146,2019-01-05,stuff,200949,139000,30913000
147,2019-01-05,stuff,200952,129000,65816000
148,2019-01-05,underwear,200970,109000,94162000
149,2019-01-05,underwear,200988,59000,131746000
150,2019-01-05,underwear,201860,89000,70892000
151,2019-01-05,underwear,201861,89000,11951000
152,2019-01-05,underwear,201865,89000,7168000
153,2019-01-05,underwear,201892,119000,171008000
154,2019-01-06,beauty,200197,39800,296989000
155,2019-01-06,beauty,200881,39900,69034000
156,2019-01-06,cloth,200896,299000,112751000
157,2019-01-06,cloth,201059,39900,127460000
158,2019-01-06,cloth,202044,499000,129417000
159,2019-01-06,cloth,202404,79000,73127000
160,2019-01-06,daily_supplies,201514,189000,199477000
161,2019-01-06,food,200670,50900,190234000
162,2019-01-06,food,201343,43900,55476000
163,2019-01-06,food,201479,49900,226973000
164,2019-01-06,health,201981,89000,43768000
165,2019-01-06,home_appliance,200465,489000,66822000
166,2019-01-06,home_appliance,200533,439000,90913000
167,2019-01-06,kitchen,202093,168000,35515000
168,2019-01-06,kitchen,202095,158000,14060000
169,2019-01-06,kitchen,202098,158000,77749000
170,2019-01-06,kitchen,202100,148000,29667000
171,2019-01-06,kitchen,202455,218000,79173000
172,2019-01-06,kitchen,202456,208000,16410000
173,2019-01-06,kitchen,202457,198000,14227000
174,2019-01-06,kitchen,202458,208000,60014000
175,2019-01-06,underwear,200974,59000,107504000
176,2019-01-06,underwear,200988,59000,140001000
177,2019-01-06,underwear,201860,89000,84623000
178,2019-01-06,underwear,201861,89000,14507000
179,2019-01-06,underwear,201865,89000,10160000
180,2019-01-06,underwear,202004,79900,80990000
181,2019-01-06,underwear,202108,89900,128563000
182,2019-01-07,beauty,200197,39800,85181000
183,2019-01-07,beauty,202261,79000,55315000
184,2019-01-07,cloth,200771,49000,13874000
185,2019-01-07,cloth,200772,49000,14515000
186,2019-01-07,cloth,200896,299000,97413000
187,2019-01-07,cloth,202404,79000,39998000
188,2019-01-07,daily_supplies,201346,138000,83659000
189,2019-01-07,daily_supplies,201514,189000,158668000
190,2019-01-07,food,200670,50900,103179000
191,2019-01-07,food,200864,30900,132025000
192,2019-01-07,food,201350,39900,202243000
193,2019-01-07,food,202512,61000,134923000
194,2019-01-07,home_appliance,200465,489000,90671000
195,2019-01-07,home_appliance,200533,439000,96577000
196,2019-01-07,kitchen,200236,60900,126381000
197,2019-01-07,kitchen,200868,109800,104065000
198,2019-01-07,kitchen,202229,218000,17822000
199,2019-01-07,kitchen,202230,238000,40935000
200,2019-01-07,kitchen,202237,208000,16941000
201,2019-01-07,kitchen,202238,228000,28104000
202,2019-01-07,kitchen,202455,218000,46647000
203,2019-01-07,kitchen,202456,208000,15686000
204,2019-01-07,kitchen,202457,198000,14923000
205,2019-01-07,kitchen,202458,208000,40810000
206,2019-01-07,underwear,200650,39000,23043000
207,2019-01-07,underwear,200970,109000,55597000
208,2019-01-07,underwear,201862,89000,5720000
209,2019-01-07,underwear,201880,89000,7251000
210,2019-01-07,underwear,201901,89000,94747000
211,2019-01-07,underwear,202108,89900,100098000
212,2019-01-08,beauty,200883,50900,30450000
213,2019-01-08,beauty,202261,79000,77593000
214,2019-01-08,cloth,200842,69000,51587000
215,2019-01-08,cloth,200855,69000,22376000
216,2019-01-08,cloth,202044,499000,87668000
217,2019-01-08,cloth,202216,39900,45527000
218,2019-01-08,food,201479,49900,215465000
219,2019-01-08,food,201788,39900,108120000
220,2019-01-08,food,202365,59900,113015000
221,2019-01-08,food,202444,59900,117340000
222,2019-01-08,food,202491,32900,108199000
223,2019-01-08,food,202512,61000,132913000
224,2019-01-08,home_appliance,200432,1440000,27957000
225,2019-01-08,home_appliance,200441,2130000,67035000
226,2019-01-08,home_appliance,200451,2990000,14548000
227,2019-01-08,home_appliance,200499,1300000,6354000
228,2019-01-08,home_appliance,200508,1900000,78067000
229,2019-01-08,home_appliance,200518,2700000,13093000
230,2019-01-08,kitchen,200819,89800,134611000
231,2019-01-08,kitchen,202093,168000,28451000
232,2019-01-08,kitchen,202095,158000,8461000
233,2019-01-08,kitchen,202098,158000,68159000
234,2019-01-08,kitchen,202100,148000,21897000
235,2019-01-08,kitchen,202455,218000,59804000
236,2019-01-08,kitchen,202456,208000,16410000
237,2019-01-08,kitchen,202457,198000,17041000
238,2019-01-08,kitchen,202458,208000,56313000
239,2019-01-08,underwear,200988,59000,102850000
240,2019-01-08,underwear,201860,89000,74475000
241,2019-01-08,underwear,201861,89000,11546000
242,2019-01-08,underwear,201865,89000,7917000
243,2019-01-08,underwear,201894,59000,47243000
244,2019-01-08,underwear,202004,79900,94711000
245,2019-01-08,underwear,202281,79900,63618000
246,2019-01-09,beauty,202261,79000,90972000
247,2019-01-09,cloth,200896,299000,59236000
248,2019-01-09,cloth,201059,39900,78037000
249,2019-01-09,cloth,202377,59900,128484000
250,2019-01-09,cloth,202404,79000,29368000
251,2019-01-09,daily_supplies,201514,189000,166109000
252,2019-01-09,food,200864,30900,122270000
253,2019-01-09,food,201483,59900,149686000
254,2019-01-09,food,202171,59900,91804000
255,2019-01-09,food,202491,32900,109771000
256,2019-01-09,food,202512,61000,145623000
257,2019-01-09,health,201002,69000,61274000
258,2019-01-09,home_appliance,200465,489000,70050000
259,2019-01-09,home_appliance,200533,439000,81066000
260,2019-01-09,kitchen,200235,50900,108154000
261,2019-01-09,kitchen,200868,109800,108760000
262,2019-01-09,kitchen,202093,168000,26146000
263,2019-01-09,kitchen,202095,158000,10136000
264,2019-01-09,kitchen,202098,158000,59362000
265,2019-01-09,kitchen,202100,148000,20836000
266,2019-01-09,kitchen,202229,218000,9308000
267,2019-01-09,kitchen,202230,238000,37129000
268,2019-01-09,kitchen,202237,208000,9531000
269,2019-01-09,kitchen,202238,228000,25980000
270,2019-01-09,stuff,200949,139000,19855000
271,2019-01-09,stuff,200952,129000,30011000
272,2019-01-09,underwear,200650,39000,57947000
273,2019-01-09,underwear,202108,89900,125483000
274,2019-01-10,beauty,200197,39800,118018000
275,2019-01-10,cloth,201059,39900,70015000
276,2019-01-10,cloth,202044,499000,121508000
277,2019-01-10,cloth,202216,39900,43676000
278,2019-01-10,daily_supplies,202165,248000,14387000
279,2019-01-10,daily_supplies,202168,238000,24820000
280,2019-01-10,food,200669,51900,64374000
281,2019-01-10,food,200670,50900,140716000
282,2019-01-10,food,200864,30900,120600000
283,2019-01-10,food,201479,49900,184514000
284,2019-01-10,food,202074,40900,131690000
285,2019-01-10,food,202365,59900,106158000
286,2019-01-10,food,202512,61000,108246000
287,2019-01-10,health,201002,69000,118001000
288,2019-01-10,home_appliance,200432,1440000,38381000
289,2019-01-10,home_appliance,200441,2130000,67036000
290,2019-01-10,home_appliance,200451,2990000,7274000
291,2019-01-10,home_appliance,200499,1300000,25193000
292,2019-01-10,home_appliance,200508,1900000,64322000
293,2019-01-10,home_appliance,200518,2700000,13142000
294,2019-01-10,kitchen,200819,89800,93260000
295,2019-01-10,kitchen,202093,168000,28523000
296,2019-01-10,kitchen,202095,158000,6299000
297,2019-01-10,kitchen,202098,158000,68178000
298,2019-01-10,kitchen,202100,148000,25096000
299,2019-01-10,kitchen,202229,218000,18479000
300,2019-01-10,kitchen,202230,238000,52513000
301,2019-01-10,kitchen,202237,208000,14201000
302,2019-01-10,kitchen,202238,228000,33279000
303,2019-01-10,underwear,200652,69900,50947000
304,2019-01-10,underwear,200970,109000,58416000
305,2019-01-10,underwear,202004,79900,90355000
306,2019-01-11,beauty,200881,39900,29111000
307,2019-01-11,cloth,201048,699000,67765000
308,2019-01-11,cloth,201070,39900,17769000
309,2019-01-11,cloth,201077,39900,22624000
310,2019-01-11,cloth,201457,49800,114365000
311,2019-01-11,cloth,202377,59900,151484000
312,2019-01-11,cloth,202421,169000,153395000
313,2019-01-11,food,202076,99000,155363000
314,2019-01-11,food,202365,59900,89775000
315,2019-01-11,food,202444,59900,110642000
316,2019-01-11,food,202491,32900,121465000
317,2019-01-11,food,202512,61000,109842000
318,2019-01-11,home_appliance,200487,1549000,47841000
319,2019-01-11,home_appliance,200554,1409000,43481000
320,2019-01-11,home_appliance,201704,1349000,64168000
321,2019-01-11,home_appliance,201706,1089000,9276000
322,2019-01-11,home_appliance,201756,1259000,38087000
323,2019-01-11,home_appliance,201758,999000,28163000
324,2019-01-11,kitchen,200819,89800,111728000
325,2019-01-11,kitchen,200868,109800,78853000
326,2019-01-11,kitchen,202455,218000,37322000
327,2019-01-11,kitchen,202456,208000,10490000
328,2019-01-11,kitchen,202457,198000,10708000
329,2019-01-11,kitchen,202458,208000,29706000
330,2019-01-11,underwear,200652,69900,73765000
331,2019-01-11,underwear,200907,39900,23951000
332,2019-01-11,underwear,200908,39900,14410000
333,2019-01-11,underwear,200988,59000,79514000
334,2019-01-11,underwear,201848,59000,130476000
335,2019-01-11,underwear,201851,59000,53246000
336,2019-01-12,beauty,200197,39800,153222000
337,2019-01-12,cloth,200896,299000,114778000
338,2019-01-12,cloth,201058,59900,128055000
339,2019-01-12,cloth,201061,59900,116165000
340,2019-01-12,cloth,201225,69900,24210000
341,2019-01-12,cloth,201231,69900,20752000
342,2019-01-12,cloth,201457,49800,103442000
343,2019-01-12,cloth,201792,69000,48339000
344,2019-01-12,cloth,201799,69000,35469000
345,2019-01-12,cloth,202377,59900,108061000
346,2019-01-12,cloth,202421,169000,67126000
347,2019-01-12,food,201483,59900,129060000
348,2019-01-12,food,202074,40900,88251000
349,2019-01-12,home_appliance,200432,1440000,34864000
350,2019-01-12,home_appliance,200441,2130000,31011000
351,2019-01-12,home_appliance,200451,2990000,7299000
352,2019-01-12,home_appliance,200499,1300000,47205000
353,2019-01-12,home_appliance,200508,1900000,32174000
354,2019-01-12,home_appliance,200518,2700000,13142000
355,2019-01-12,kitchen,202229,218000,17105000
356,2019-01-12,kitchen,202230,238000,63475000
357,2019-01-12,kitchen,202237,208000,17610000
358,2019-01-12,kitchen,202238,228000,28908000
359,2019-01-12,kitchen,202455,218000,83829000
360,2019-01-12,kitchen,202456,208000,17148000
361,2019-01-12,kitchen,202457,198000,17033000
362,2019-01-12,kitchen,202458,208000,78491000
363,2019-01-12,stuff,200949,139000,50947000
364,2019-01-12,stuff,200952,129000,102837000
365,2019-01-12,underwear,200970,109000,100776000
366,2019-01-12,underwear,201860,89000,73709000
367,2019-01-12,underwear,201861,89000,11104000
368,2019-01-12,underwear,201865,89000,6743000
369,2019-01-12,underwear,202004,79900,80134000
370,2019-01-12,underwear,202108,89900,106313000
371,2019-01-12,underwear,202282,59900,105743000
372,2019-01-13,beauty,200197,39800,344551000
373,2019-01-13,cloth,201048,699000,90721000
374,2019-01-13,cloth,201070,39900,13613000
375,2019-01-13,cloth,201077,39900,14870000
376,2019-01-13,cloth,201457,49800,106047000
377,2019-01-13,cloth,201792,69000,32263000
378,2019-01-13,cloth,201799,69000,24504000
379,2019-01-13,daily_supplies,201514,189000,132587000
380,2019-01-13,food,201350,39900,243162000
381,2019-01-13,home_appliance,200465,489000,73246000
382,2019-01-13,home_appliance,200533,439000,116699000
383,2019-01-13,kitchen,200236,60900,191786000
384,2019-01-13,kitchen,201155,138000,136106000
385,2019-01-13,kitchen,201156,132000,126472000
386,2019-01-13,kitchen,202093,168000,25662000
387,2019-01-13,kitchen,202095,158000,6285000
388,2019-01-13,kitchen,202098,158000,66071000
389,2019-01-13,kitchen,202100,148000,21902000
390,2019-01-13,kitchen,202229,218000,20600000
391,2019-01-13,kitchen,202230,238000,76360000
392,2019-01-13,kitchen,202237,208000,20257000
393,2019-01-13,kitchen,202238,228000,53154000
394,2019-01-13,stuff,200950,139000,55071000
395,2019-01-13,stuff,200953,129000,97861000
396,2019-01-13,underwear,200970,109000,83714000
397,2019-01-13,underwear,200988,59000,110029000
398,2019-01-13,underwear,201852,119000,137468000
399,2019-01-13,underwear,201862,89000,6672000
400,2019-01-13,underwear,201880,89000,6423000
401,2019-01-13,underwear,201901,89000,65762000
402,2019-01-13,underwear,202110,89900,155124000
403,2019-01-14,cloth,201457,49800,90629000
404,2019-01-14,cloth,202044,499000,71647000
405,2019-01-14,cloth,202421,169000,91096000
406,2019-01-14,daily_supplies,201514,189000,128207000
407,2019-01-14,food,200670,50900,146609000
408,2019-01-14,food,200864,30900,121945000
409,2019-01-14,food,201479,49900,251633000
410,2019-01-14,food,202182,43900,143637000
411,2019-01-14,food,202444,59900,134228000
412,2019-01-14,food,202512,61000,122742000
413,2019-01-14,health,201234,50900,30145000
414,2019-01-14,home_appliance,200465,489000,57468000
415,2019-01-14,home_appliance,200533,439000,85348000
416,2019-01-14,kitchen,200745,89000,3672000
417,2019-01-14,kitchen,200746,129000,5701000
418,2019-01-14,kitchen,200747,188000,26390000
419,2019-01-14,kitchen,200750,79000,4981000
420,2019-01-14,kitchen,200751,119000,12268000
421,2019-01-14,kitchen,200752,168000,47050000
422,2019-01-14,kitchen,200819,89800,82949000
423,2019-01-14,kitchen,200868,109800,97769000
424,2019-01-14,kitchen,202229,218000,13553000
425,2019-01-14,kitchen,202230,238000,23310000
426,2019-01-14,kitchen,202237,208000,8196000
427,2019-01-14,kitchen,202238,228000,16350000
428,2019-01-14,kitchen,202455,218000,70647000
429,2019-01-14,kitchen,202456,208000,21587000
430,2019-01-14,kitchen,202457,198000,17023000
431,2019-01-14,kitchen,202458,208000,56292000
432,2019-01-14,underwear,200988,59000,113196000
433,2019-01-14,underwear,202282,59900,64635000
434,2019-01-15,cloth,201059,39900,38860000
435,2019-01-15,cloth,201225,69900,45111000
436,2019-01-15,cloth,201231,69900,35313000
437,2019-01-15,cloth,201457,49800,65352000
438,2019-01-15,cloth,202377,59900,137454000
439,2019-01-15,food,200039,40900,146981000
440,2019-01-15,food,200864,30900,148975000
441,2019-01-15,food,202076,96000,154737000
442,2019-01-15,food,202491,32900,123136000
443,2019-01-15,food,202512,61000,122606000
444,2019-01-15,health,201002,69000,51460000
445,2019-01-15,health,201972,74900,48295000
446,2019-01-15,home_appliance,200432,1440000,31375000
447,2019-01-15,home_appliance,200441,2130000,56708000
448,2019-01-15,home_appliance,200451,2990000,14598000
449,2019-01-15,home_appliance,200499,1300000,31422000
450,2019-01-15,home_appliance,200508,1900000,36854000
451,2019-01-15,home_appliance,200518,2700000,26260000
452,2019-01-15,home_appliance,201704,1349000,121083000
453,2019-01-15,home_appliance,201706,1089000,15443000
454,2019-01-15,home_appliance,201756,1259000,81169000
455,2019-01-15,home_appliance,201758,999000,13780000
456,2019-01-15,kitchen,200819,89800,93990000
457,2019-01-15,kitchen,201164,89000,23082000
458,2019-01-15,kitchen,201165,84000,29871000
459,2019-01-15,kitchen,202093,168000,28099000
460,2019-01-15,kitchen,202095,158000,12398000
461,2019-01-15,kitchen,202098,158000,69506000
462,2019-01-15,kitchen,202100,148000,22995000
463,2019-01-15,kitchen,202229,218000,17774000
464,2019-01-15,kitchen,202230,238000,41809000
465,2019-01-15,kitchen,202237,208000,15470000
466,2019-01-15,kitchen,202238,228000,34098000
467,2019-01-15,stuff,200949,139000,18916000
468,2019-01-15,stuff,200952,129000,40442000
469,2019-01-15,underwear,200652,69900,73369000
470,2019-01-15,underwear,201848,59000,122101000
471,2019-01-15,underwear,201851,59000,46211000
472,2019-01-16,beauty,200197,39800,175309000
473,2019-01-16,cloth,201058,59900,59821000
474,2019-01-16,cloth,201061,59900,51001000
475,2019-01-16,cloth,201070,39900,13617000
476,2019-01-16,cloth,201077,39900,14791000
477,2019-01-16,cloth,202421,169000,117206000
478,2019-01-16,daily_supplies,200789,49800,92354000
479,2019-01-16,food,201483,59900,121667000
480,2019-01-16,food,201498,59900,108388000
481,2019-01-16,food,202074,40900,144509000
482,2019-01-16,food,202076,96000,122650000
483,2019-01-16,food,202444,59900,121682000
484,2019-01-16,food,202512,61000,122080000
485,2019-01-16,home_appliance,200465,489000,82700000
486,2019-01-16,home_appliance,200487,1549000,55858000
487,2019-01-16,home_appliance,200533,439000,93811000
488,2019-01-16,home_appliance,200554,1409000,54308000
489,2019-01-16,kitchen,200236,60900,104213000
490,2019-01-16,kitchen,201155,138000,122803000
491,2019-01-16,kitchen,201156,132000,121488000
492,2019-01-16,kitchen,202229,218000,13550000
493,2019-01-16,kitchen,202230,238000,41006000
494,2019-01-16,kitchen,202237,208000,15555000
495,2019-01-16,kitchen,202238,228000,29673000
496,2019-01-16,kitchen,202455,218000,55918000
497,2019-01-16,kitchen,202456,208000,11974000
498,2019-01-16,kitchen,202457,198000,16342000
499,2019-01-16,kitchen,202458,208000,45234000
500,2019-01-16,underwear,202108,89900,103535000
501,2019-01-16,underwear,202282,59900,48240000
502,2019-01-17,beauty,200197,39800,170345000
503,2019-01-17,cloth,201457,49800,71254000
504,2019-01-17,cloth,201792,69000,62891000
505,2019-01-17,cloth,201799,69000,60824000
506,2019-01-17,cloth,202419,39000,60308000
507,2019-01-17,daily_supplies,202165,248000,40359000
508,2019-01-17,daily_supplies,202168,238000,48524000
509,2019-01-17,food,200039,40900,151665000
510,2019-01-17,food,201483,59900,117153000
511,2019-01-17,food,202074,40900,153882000
512,2019-01-17,food,202171,59900,90986000
513,2019-01-17,home_appliance,201684,1080000,31614000
514,2019-01-17,home_appliance,201687,1800000,61394000
515,2019-01-17,home_appliance,201691,2880000,28100000
516,2019-01-17,home_appliance,201737,1000000,21882000
517,2019-01-17,home_appliance,201741,1700000,12540000
518,2019-01-17,home_appliance,201745,2700000,0
519,2019-01-17,kitchen,200279,64800,115216000
520,2019-01-17,kitchen,200281,98000,5422000
521,2019-01-17,kitchen,200284,93000,29626000
522,2019-01-17,kitchen,200821,29800,5423000
523,2019-01-17,kitchen,200822,39800,40280000
524,2019-01-17,kitchen,201155,138000,77314000
525,2019-01-17,kitchen,201156,132000,72597000
526,2019-01-17,kitchen,202369,69800,58683000
527,2019-01-17,stuff,200761,129000,43871000
528,2019-01-17,stuff,202178,99000,111534000
529,2019-01-17,underwear,201852,119000,100292000
530,2019-01-17,underwear,201892,119000,187722000
531,2019-01-18,cloth,201059,39900,61592000
532,2019-01-18,cloth,201161,79000,45474000
533,2019-01-18,cloth,201225,69900,27150000
534,2019-01-18,cloth,201231,69900,23080000
535,2019-01-18,cloth,202377,59900,127187000
536,2019-01-18,daily_supplies,200787,40900,58617000
537,2019-01-18,daily_supplies,201514,189000,106378000
538,2019-01-18,food,200114,39900,92213000
539,2019-01-18,food,201499,59900,93141000
540,2019-01-18,food,201787,70900,55183000
541,2019-01-18,food,202076,96000,159931000
542,2019-01-18,food,202491,32900,120590000
543,2019-01-18,health,200137,189000,30203000
544,2019-01-18,health,200138,179000,50172000
545,2019-01-18,kitchen,200267,109000,11301000
546,2019-01-18,kitchen,200268,129000,78189000
547,2019-01-18,kitchen,200819,89800,80838000
548,2019-01-18,kitchen,200868,109800,103036000
549,2019-01-18,kitchen,201155,138000,151806000
550,2019-01-18,kitchen,201156,132000,136256000
551,2019-01-18,stuff,200950,139000,9911000
552,2019-01-18,stuff,200953,129000,19694000
553,2019-01-18,underwear,200901,59900,38100000
554,2019-01-18,underwear,200977,89000,43208000
555,2019-01-18,underwear,201848,59000,123242000
556,2019-01-18,underwear,201851,59000,42122000
557,2019-01-19,cloth,201794,49000,41548000
558,2019-01-19,cloth,201801,49000,34760000
559,2019-01-19,cloth,202417,39000,77571000
560,2019-01-19,cloth,202421,169000,120520000
561,2019-01-19,daily_supplies,201514,189000,153048000
562,2019-01-19,daily_supplies,202165,248000,24143000
563,2019-01-19,daily_supplies,202168,238000,17175000
564,2019-01-19,food,200033,69900,88858000
565,2019-01-19,food,200039,40900,209675000
566,2019-01-19,food,200864,30900,181784000
567,2019-01-19,food,201498,59900,79283000
568,2019-01-19,food,202512,61000,160085000
569,2019-01-19,home_appliance,200432,1440000,20999000
570,2019-01-19,home_appliance,200441,2130000,10329000
571,2019-01-19,home_appliance,200451,2990000,14548000
572,2019-01-19,home_appliance,200499,1300000,22065000
573,2019-01-19,home_appliance,200508,1900000,64322000
574,2019-01-19,home_appliance,200518,2700000,19664000
575,2019-01-19,home_appliance,201684,1080000,36761000
576,2019-01-19,home_appliance,201687,1800000,17562000
577,2019-01-19,home_appliance,201691,2880000,7074000
578,2019-01-19,home_appliance,201737,1000000,21881000
579,2019-01-19,home_appliance,201741,1700000,4172000
580,2019-01-19,home_appliance,201745,2700000,6611000
581,2019-01-19,kitchen,200819,89800,139820000
582,2019-01-19,kitchen,202455,218000,81493000
583,2019-01-19,kitchen,202456,208000,24539000
584,2019-01-19,kitchen,202457,198000,19839000
585,2019-01-19,kitchen,202458,208000,71107000
586,2019-01-19,stuff,200949,139000,27559000
587,2019-01-19,stuff,200952,129000,62174000
588,2019-01-19,underwear,201832,79000,83569000
589,2019-01-19,underwear,201834,79000,15543000
590,2019-01-19,underwear,201836,79000,26634000
591,2019-01-19,underwear,201892,119000,150009000
592,2019-01-19,underwear,202004,79900,86002000
593,2019-01-19,underwear,202108,89900,69252000
594,2019-01-19,underwear,202110,89900,164073000
